timestamp,x,y,z
0,-1.62,-4.65,6.33
10,-2.04,-4.45,5.8
20,-2.3,-4.32,5.21
30,-2.46,-4.2,4.69
40,-2.63,-4.04,4.25
50,-2.81,-3.91,3.86
60,-3.18,-3.76,3.57
70,-3.74,-3.6,3.35
80,-4.36,-3.5,3.19
90,-4.96,-3.37,3.14
100,-5.51,-3.27,3.15
110,-5.85,-3.29,3.11
120,-5.93,-3.29,3.05
130,-5.85,-3.27,3.0
140,-5.72,-3.21,2.96
150,-5.56,-3.11,2.91
160,-5.44,-3.01,2.8
170,-5.45,-2.85,2.54
180,-5.57,-2.6,2.2
190,-5.85,-2.34,1.79
200,-6.16,-2.06,1.38
210,-6.64,-1.7,0.88
220,-7.02,-1.43,0.38
230,-7.38,-1.17,-0.08
240,-7.64,-0.78,-0.38
250,-8.0,-0.37,-0.45
260,-8.42,0.12,-0.17
270,-9.06,0.66,0.23
280,-9.88,1.15,0.69
290,-10.44,1.73,1.19
300,-10.64,2.31,1.76
310,-10.61,3.09,1.89
320,-11.09,3.72,1.44
330,-11.81,4.36,0.82
340,-13.18,5.05,0.3
350,-14.84,5.98,-0.24
360,-16.79,6.41,-0.71
370,-18.28,6.77,-0.99
380,-18.9,7.18,-0.96
390,-18.56,7.51,-0.71
400,-17.42,7.51,-0.71
410,-15.75,7.29,-0.56
420,-13.71,6.92,-0.15
430,-11.68,6.51,0.42
440,-9.95,5.86,1.5
450,-8.94,5.28,2.86
460,-8.07,4.78,4.5
470,-7.59,4.39,6.72
480,-7.35,4.18,9.23
490,-6.83,3.85,11.81
500,-5.88,3.19,14.02
510,-4.5,2.31,15.61
520,-2.72,1.16,16.46
530,-0.81,-0.2,16.53
540,0.81,-1.5,15.78
550,2.41,-3.1,14.33
560,3.91,-4.81,12.72
570,5.31,-6.37,11.16
580,6.51,-7.7,9.91
590,7.31,-8.66,9.03
600,8.07,-9.03,8.48
610,8.39,-9.04,8.16
620,7.86,-8.69,7.89
630,6.5,-7.99,7.63
640,4.65,-7.13,7.08
650,2.94,-6.42,6.29
660,1.96,-5.69,5.47
670,1.22,-4.99,4.43
680,1.23,-4.66,3.64
690,1.81,-4.26,3.4
700,2.94,-3.61,4.3
710,3.09,-2.58,5.84
720,2.88,-1.34,7.86
730,1.62,0.24,9.92
740,0.02,1.77,11.68
750,-2.02,3.29,13.25
760,-4.81,4.74,14.03
770,-7.55,5.71,13.91
780,-10.07,6.63,13.05
790,-12.28,7.11,11.67
800,-13.67,7.38,9.91
810,-14.38,7.26,7.84
820,-14.63,6.74,5.69
830,-14.5,6.35,3.92
840,-13.86,6.09,2.82
850,-13.01,5.91,2.23
860,-12.48,5.85,2.03
870,-12.47,6.01,1.96
880,-12.99,6.26,1.79
890,-13.55,6.35,1.58
900,-13.91,6.46,1.43
910,-13.88,6.55,1.37
920,-13.83,6.63,1.42
930,-14.02,6.76,1.62
940,-14.52,7.05,1.86
950,-14.82,7.24,2.11
960,-14.71,7.24,2.6
970,-14.16,7.4,3.36
980,-13.05,7.62,4.23
990,-11.64,7.68,4.83
1000,-9.68,7.63,5.31
