timestamp,x,y,z
0,-5.01,0.32,3.93
10,-6.03,0.54,3.37
20,-7.18,0.77,2.69
30,-8.05,0.88,2.3
40,-8.45,0.93,2.38
50,-8.45,0.98,2.85
60,-8.13,1.09,3.43
70,-7.96,1.26,3.92
80,-8.03,1.37,3.97
90,-8.36,1.46,3.49
100,-8.7,1.46,2.64
110,-9.26,1.51,1.56
120,-10.09,1.76,0.47
130,-11.29,2.2,-0.57
140,-12.82,2.65,-1.38
150,-14.28,3.13,-1.82
160,-15.38,3.61,-1.84
170,-15.89,3.97,-1.39
180,-15.74,4.24,-0.8
190,-14.89,4.36,-0.31
200,-13.71,4.37,-0.07
210,-12.5,4.44,-0.1
220,-11.42,4.61,-0.2
230,-10.35,4.95,0.05
240,-9.31,5.45,1.0
250,-8.45,6.15,2.48
260,-7.73,6.76,4.47
270,-7.07,7.04,6.56
280,-6.64,7.0,8.6
290,-6.14,6.49,10.33
300,-5.65,5.63,11.71
310,-5.01,4.57,12.27
320,-3.84,3.52,12.36
330,-2.56,2.6,11.71
340,-1.41,1.72,10.54
350,-0.34,0.82,9.37
360,0.41,0.13,8.35
370,1.15,-0.49,7.74
380,1.66,-1.05,7.46
390,2.11,-1.62,7.41
400,2.6,-2.13,7.65
410,3.06,-2.54,8.18
420,3.65,-2.86,8.98
430,4.19,-3.05,9.79
440,4.86,-3.05,10.68
450,5.45,-2.94,11.41
460,5.92,-2.69,11.99
470,6.19,-2.46,12.3
480,5.94,-2.51,12.18
490,5.25,-2.52,11.6
500,4.25,-2.52,10.67
510,3.28,-2.4,9.44
520,2.46,-2.15,8.41
530,1.76,-1.67,7.67
540,1.38,-0.87,7.23
550,1.22,0.06,7.43
560,1.34,0.88,8.15
570,1.58,1.92,9.32
580,1.77,2.94,10.41
590,1.4,3.93,11.25
600,0.52,4.99,11.59
610,-0.61,5.85,11.53
620,-1.84,6.63,11.15
630,-2.97,7.24,10.63
640,-3.88,7.52,10.15
650,-4.56,7.57,9.83
660,-5.09,7.65,9.92
670,-5.39,7.83,10.16
680,-5.63,8.04,10.41
690,-5.75,8.27,10.51
700,-6.13,8.43,10.23
710,-7.16,8.42,9.17
720,-8.66,8.23,7.52
730,-9.98,7.91,5.69
740,-10.86,7.59,4.02
750,-11.55,7.27,2.5
760,-12.19,6.96,1.26
770,-12.72,6.76,0.32
780,-13.04,6.61,-0.32
790,-13.21,6.44,-0.73
800,-13.3,6.27,-0.92
810,-13.21,6.12,-0.93
820,-12.83,6.01,-0.67
830,-12.29,5.91,-0.19
840,-11.52,5.8,0.53
850,-10.62,5.71,1.37
860,-9.47,5.64,2.26
870,-8.33,5.57,3.04
880,-7.39,5.5,3.64
890,-6.7,5.46,4.12
900,-6.26,5.4,4.45
910,-6.0,5.33,4.64
920,-5.91,5.29,4.62
930,-5.97,5.3,4.44
940,-6.11,5.38,4.04
950,-6.09,5.55,3.65
960,-6.28,5.77,3.22
970,-6.32,6.06,2.94
980,-5.88,6.51,2.88
990,-4.95,7.15,3.2
1000,-3.53,7.87,4.24
