timestamp,x,y,z
0,-14.44,10.0,-6.15
10,-16.33,10.39,-7.74
20,-18.18,10.91,-8.99
30,-19.74,12.13,-10.45
40,-20.54,13.0,-11.88
50,-20.25,14.41,-13.31
60,-18.28,16.79,-12.25
70,-14.34,18.64,-10.01
80,-12.19,19.35,-7.58
90,-10.48,20.38,-3.11
100,-8.25,21.41,3.83
110,-3.02,21.34,12.95
120,3.86,18.38,20.82
130,8.5,14.99,28.08
140,11.1,11.03,33.75
150,11.78,7.65,35.98
160,9.05,4.98,35.03
170,6.64,3.65,32.48
180,4.48,2.37,30.18
190,4.05,1.48,28.37
200,4.14,0.77,26.3
210,4.27,0.24,23.87
220,3.2,-0.21,20.83
230,1.0,0.34,19.03
240,0.28,-0.26,15.3
250,-1.25,0.3,13.84
260,-2.32,0.44,12.52
270,-2.63,0.5,11.61
280,-2.12,0.37,10.86
290,-2.18,0.27,10.33
300,-3.07,1.08,11.36
310,-4.23,0.37,10.82
320,-4.38,0.14,10.33
330,-4.6,0.36,11.31
340,-4.52,0.57,12.33
350,-5.21,0.82,13.26
360,-5.29,0.87,13.69
370,-5.03,0.82,13.85
380,-4.39,0.78,13.78
390,-4.28,0.74,14.2
400,-4.36,0.9,14.53
410,-5.15,1.03,14.57
420,-5.9,1.31,14.53
430,-5.97,1.52,14.43
440,-6.44,1.71,14.15
450,-6.78,1.93,13.47
460,-7.05,2.07,12.44
470,-7.03,2.11,10.88
480,-6.48,2.07,9.92
490,-5.6,2.18,9.47
500,-4.83,2.18,9.16
510,-4.1,2.31,8.84
520,-3.4,2.62,8.03
530,-3.03,2.72,7.02
540,-2.57,2.78,6.04
550,-2.26,2.91,4.87
560,-1.81,2.91,4.05
570,-1.35,2.81,3.53
580,-0.63,2.67,3.25
590,0.67,2.56,3.83
600,1.35,2.11,3.59
610,0.31,2.53,3.7
620,-3.48,3.15,3.62
630,-7.84,3.69,2.55
640,-11.62,3.76,0.93
650,-13.89,3.34,-0.89
660,-14.57,2.69,-2.6
670,-13.66,2.07,-3.08
680,-12.58,1.95,-2.38
690,-11.83,1.76,-1.56
700,-11.58,1.8,-0.43
710,-12.4,2.52,0.2
720,-13.66,3.06,-0.4
730,-15.05,3.06,-1.71
740,-18.34,3.32,-2.7
750,-22.67,3.87,-4.53
760,-25.78,3.98,-7.51
770,-27.51,4.25,-9.47
780,-29.7,4.71,-10.57
790,-29.33,5.83,-10.2
800,-29.01,7.26,-8.48
810,-27.46,9.01,-6.09
820,-24.43,10.68,-3.06
830,-20.81,12.03,0.71
840,-17.1,12.84,4.89
850,-13.07,13.67,9.31
860,-7.28,13.53,12.77
870,-1.19,12.89,16.56
880,4.42,11.46,19.8
890,8.25,9.3,22.07
900,10.43,7.03,22.53
910,10.88,5.5,21.67
920,10.69,4.51,20.36
930,10.84,3.65,18.78
940,10.81,2.95,17.47
950,10.94,2.3,16.15
960,11.54,1.15,14.38
970,11.41,0.3,12.67
980,10.65,-0.16,11.34
990,9.36,-0.39,10.38
1000,8.05,-0.37,9.6
