timestamp,x,y,z
0,-28.3,6.57,-10.03
10,-27.38,6.76,-10.18
20,-26.11,7.01,-10.06
30,-24.4,7.6,-9.25
40,-22.36,8.57,-7.75
50,-20.36,9.26,-6.79
60,-19.01,9.91,-6.38
70,-18.12,10.95,-5.55
80,-18.51,11.31,-7.24
90,-20.03,11.54,-10.03
100,-22.34,12.16,-11.63
110,-24.34,14.32,-10.89
120,-23.92,17.27,-8.06
130,-20.24,20.85,-4.47
140,-13.81,22.78,-2.61
150,-8.77,23.81,-1.0
160,-6.41,25.52,2.8
170,-3.02,26.13,8.11
180,-1.11,25.38,13.89
190,0.56,23.81,19.64
200,3.0,21.88,26.14
210,6.9,17.93,32.33
220,9.59,13.88,34.88
230,10.4,10.87,35.73
240,9.07,8.76,35.39
250,5.46,7.6,34.56
260,2.27,5.47,28.67
270,0.35,5.58,25.49
280,-2.08,5.31,22.16
290,-5.52,5.1,17.86
300,-5.88,5.15,15.17
310,-3.79,4.14,12.9
320,-2.2,3.71,10.51
330,-1.72,3.39,9.87
340,-1.01,2.66,10.5
350,-1.03,2.26,11.31
360,-0.66,2.04,11.94
370,-0.32,1.97,12.57
380,-0.88,1.98,12.99
390,-1.58,1.95,13.19
400,-1.81,1.97,13.5
410,-1.68,1.97,13.85
420,-1.36,2.04,14.2
430,-0.85,1.95,14.45
440,-0.06,1.97,14.3
450,-0.19,1.77,13.41
460,-1.13,1.69,12.27
470,-2.72,1.56,11.25
480,-4.45,1.29,10.76
490,-6.23,1.51,11.07
500,-7.35,1.3,10.61
510,-8.63,1.48,10.28
520,-9.02,1.58,9.93
530,-8.32,1.72,9.25
540,-7.37,1.7,8.39
550,-6.51,1.59,7.45
560,-5.57,1.27,6.81
570,-5.11,0.82,6.05
580,-5.08,0.77,5.69
590,-6.23,0.82,5.57
600,-7.52,0.62,5.37
610,-8.76,0.76,5.42
620,-9.49,0.92,4.87
630,-9.88,1.04,3.98
640,-9.61,1.12,2.65
650,-8.52,0.93,0.63
660,-6.94,0.44,-1.62
670,-6.6,-0.06,-3.34
680,-6.1,-0.68,-2.88
690,-5.4,-1.04,-0.63
700,-5.43,-1.05,1.0
710,-6.0,-1.14,1.68
720,-6.89,-1.14,1.51
730,-8.02,-1.26,0.94
740,-8.89,-1.37,0.61
750,-9.34,-1.37,0.53
760,-9.03,-1.39,0.52
770,-7.93,-1.5,0.67
780,-7.43,-1.56,0.8
790,-7.99,-1.63,0.65
800,-9.13,-1.38,0.32
810,-11.19,-0.92,-0.61
820,-13.17,-0.91,-2.21
830,-14.8,-0.18,-5.49
840,-16.8,0.11,-9.4
850,-18.27,0.31,-11.45
860,-19.82,0.38,-10.71
870,-22.67,1.1,-9.72
880,-25.82,2.13,-9.72
890,-27.97,3.22,-10.38
900,-27.16,4.21,-10.57
910,-25.45,5.76,-10.21
920,-24.68,7.82,-8.85
930,-22.19,10.87,-6.22
940,-17.95,13.55,-1.83
950,-13.95,15.61,3.66
960,-9.1,17.06,10.26
970,-3.36,16.47,16.46
980,1.34,14.82,20.95
990,4.71,12.7,23.03
1000,7.86,10.21,23.64
