timestamp,x,y,z
0,-2.36,9.38,5.58
10,-4.15,10.15,5.68
20,-6.25,10.69,5.46
30,-8.44,10.98,4.99
40,-10.94,10.94,4.3
50,-13.75,10.43,3.46
60,-16.88,9.51,2.54
70,-20.34,8.46,1.84
80,-23.84,7.79,1.66
90,-26.09,7.42,2.09
100,-25.31,7.15,2.62
110,-20.21,7.07,3.4
120,-14.11,7.03,4.1
130,-9.52,6.69,4.35
140,-7.7,6.4,4.44
150,-9.07,6.52,4.69
160,-12.45,6.84,5.12
170,-15.56,7.33,5.66
180,-17.23,8.04,6.09
190,-16.7,8.7,6.25
200,-14.12,9.35,6.17
210,-11.13,9.84,5.95
220,-8.5,10.18,5.94
230,-6.04,10.41,6.09
240,-4.1,10.52,6.2
250,-2.31,10.47,6.54
260,-0.4,10.31,7.0
270,1.42,10.07,7.5
280,3.02,9.81,8.16
290,4.31,9.48,9.24
300,5.32,9.15,10.31
310,6.2,8.77,11.29
320,7.14,8.24,12.06
330,8.15,7.54,12.56
340,9.35,7.06,12.78
350,10.6,6.27,12.6
360,11.89,5.5,12.47
370,12.74,4.72,12.21
380,12.65,4.3,11.79
390,11.76,4.01,11.45
400,10.64,3.79,11.57
410,9.51,3.84,12.18
420,8.74,3.75,13.12
430,8.55,3.38,14.11
440,8.69,3.18,15.28
450,8.67,3.2,16.32
460,8.12,3.53,16.96
470,7.49,4.28,17.48
480,6.78,4.64,17.52
490,5.8,4.49,17.32
500,4.15,4.46,16.11
510,4.11,5.2,15.21
520,3.85,5.86,15.38
530,3.08,6.44,15.13
540,2.33,6.86,14.7
550,1.55,7.05,14.27
560,0.77,6.8,13.72
570,0.48,6.43,12.89
580,1.04,6.05,12.05
590,1.53,5.67,11.26
600,1.32,6.31,10.82
610,0.59,6.5,10.14
620,-0.45,6.97,10.08
630,-2.02,7.35,9.88
640,-3.23,7.17,9.56
650,-3.82,6.87,8.67
660,-3.9,6.37,7.54
670,-3.63,5.97,6.5
680,-3.69,5.87,5.42
690,-3.72,5.82,4.59
700,-4.25,5.46,3.61
710,-4.98,5.32,2.75
720,-5.74,5.39,2.33
730,-6.69,5.45,1.87
740,-7.64,5.66,1.34
750,-8.81,5.84,0.57
760,-9.81,5.94,-0.17
770,-10.68,5.97,-0.93
780,-12.28,5.92,-1.99
790,-14.93,5.68,-3.53
800,-17.76,5.45,-5.26
810,-20.2,5.09,-6.84
820,-20.97,4.63,-7.64
830,-20.03,4.32,-7.78
840,-18.18,4.18,-7.44
850,-16.54,4.05,-6.91
860,-15.32,3.88,-6.4
870,-14.43,3.8,-5.94
880,-13.59,3.92,-5.35
890,-13.75,3.92,-5.38
900,-13.69,4.13,-5.24
910,-12.94,4.77,-4.53
920,-12.16,5.66,-3.81
930,-10.92,6.66,-3.18
940,-9.22,7.88,-2.12
950,-7.03,9.41,-0.4
960,-4.73,10.87,1.51
970,-2.26,12.07,3.2
980,0.06,12.9,4.76
990,2.13,13.56,6.33
1000,4.3,13.89,8.17
