timestamp,x,y,z
0,-8.7,7.59,-2.49
10,-9.61,7.8,-2.63
20,-9.93,8.22,-2.31
30,-9.6,8.58,-1.66
40,-8.68,9.03,-0.72
50,-7.63,9.52,0.33
60,-6.64,10.1,1.37
70,-5.87,10.81,2.39
80,-5.41,11.72,3.17
90,-4.94,12.9,3.71
100,-4.21,14.31,3.98
110,-2.7,15.95,4.12
120,-0.62,17.86,3.93
130,2.47,19.56,3.59
140,6.14,20.22,3.38
150,9.47,20.54,3.86
160,12.33,21.13,5.97
170,14.94,21.72,9.1
180,17.45,21.5,12.5
190,20.27,20.84,16.62
200,22.45,19.73,19.97
210,24.45,18.22,21.04
220,26.47,15.99,19.8
230,27.42,13.16,17.24
240,29.82,12.05,15.75
250,26.27,11.4,11.37
260,20.65,11.37,9.06
270,15.5,11.09,7.77
280,12.11,10.55,7.24
290,10.99,9.89,7.0
300,10.99,9.31,6.86
310,12.06,8.86,7.2
320,12.95,8.86,7.9
330,13.04,9.17,8.78
340,12.26,9.62,9.54
350,10.9,10.42,9.75
360,9.6,11.16,9.34
370,8.72,11.93,8.8
380,7.8,12.57,8.42
390,6.22,13.19,8.08
400,4.36,13.56,7.75
410,2.03,13.79,7.42
420,0.29,13.85,7.09
430,-1.05,13.88,6.71
440,-2.21,13.78,6.22
450,-2.77,13.57,5.56
460,-3.16,13.41,4.84
470,-3.52,13.28,4.23
480,-3.74,13.29,3.69
490,-3.7,13.46,3.58
500,-3.79,13.81,3.61
510,-4.23,14.7,3.64
520,-5.21,14.94,3.22
530,-7.27,15.44,2.39
540,-10.22,15.59,1.09
550,-13.6,14.78,-1.14
560,-16.09,13.58,-4.07
570,-17.65,12.2,-6.33
580,-18.92,10.86,-7.31
590,-20.18,9.65,-7.11
600,-21.91,9.0,-5.97
610,-23.51,8.91,-4.31
620,-24.44,9.0,-2.55
630,-23.94,9.27,-1.5
640,-20.93,9.69,-0.64
650,-16.48,10.2,0.1
660,-12.51,10.54,0.55
670,-9.86,10.69,0.95
680,-8.21,10.81,1.41
690,-7.65,11.47,1.97
700,-8.01,12.78,2.57
710,-8.52,14.54,3.05
720,-8.0,16.58,3.53
730,-6.42,18.62,4.05
740,-4.04,20.49,4.77
750,-1.13,22.1,5.61
760,1.83,23.07,6.1
770,4.55,23.52,6.15
780,7.45,23.4,6.25
790,10.49,22.41,7.0
800,12.98,20.91,8.65
810,14.92,19.21,11.77
820,15.95,17.67,15.79
830,16.21,16.54,19.79
840,16.71,15.35,23.5
850,17.29,14.36,25.77
860,17.81,13.35,26.26
870,18.55,12.27,25.23
880,19.23,11.16,23.31
890,18.4,10.12,20.88
900,15.55,9.89,18.48
910,12.51,10.41,17.22
920,10.24,11.47,16.75
930,9.32,12.13,16.73
940,9.62,11.9,16.8
950,10.19,11.08,16.22
960,10.07,11.05,15.44
970,8.65,11.03,14.89
980,6.62,11.42,14.58
990,4.9,11.61,13.97
1000,4.02,11.27,12.92
