timestamp,x,y,z
0,-3.06,3.77,8.28
10,-3.01,3.77,8.28
20,-3.0,3.79,8.32
30,-3.01,3.77,8.35
40,-3.02,3.77,8.41
50,-3.16,3.8,8.51
60,-3.3,3.83,8.7
70,-3.48,3.86,8.89
80,-3.58,3.86,9.07
90,-3.67,3.83,9.12
100,-3.64,3.82,9.09
110,-3.62,3.85,9.04
120,-3.71,3.86,9.04
130,-3.85,3.83,9.04
140,-3.91,3.85,9.02
150,-4.13,3.88,9.13
160,-4.44,3.96,9.4
170,-4.78,4.08,9.74
180,-5.18,4.22,10.02
190,-5.57,4.32,10.32
200,-5.94,4.5,10.53
210,-6.5,4.8,10.9
220,-7.39,5.37,11.67
230,-8.72,6.2,12.99
240,-10.3,7.17,14.62
250,-11.98,8.03,16.12
260,-13.47,8.88,17.14
270,-14.17,9.46,17.54
280,-14.54,10.07,17.74
290,-15.17,11.1,18.05
300,-15.48,12.11,18.35
310,-14.73,12.65,17.76
320,-12.16,12.49,15.99
330,-8.75,11.76,14.19
340,-5.59,11.29,13.32
350,-2.66,11.02,13.41
360,-0.04,10.62,13.62
370,2.74,10.02,13.47
380,5.6,9.15,12.75
390,8.2,7.86,11.24
400,10.04,6.09,8.85
410,11.07,4.08,6.22
420,11.64,1.98,3.83
430,12.05,0.34,1.79
440,11.22,-0.9,-0.05
450,9.8,-1.84,-1.47
460,8.49,-2.94,-2.62
470,7.72,-3.77,-3.66
480,6.85,-4.29,-4.36
490,5.78,-4.62,-4.58
500,4.68,-4.79,-4.24
510,3.69,-4.99,-3.51
520,2.82,-5.18,-2.66
530,2.03,-5.41,-1.81
540,1.5,-5.61,-0.92
550,1.29,-5.95,-0.23
560,1.12,-6.38,0.36
570,1.42,-6.9,0.94
580,2.01,-7.43,1.53
590,2.87,-8.03,2.26
600,3.88,-8.5,3.39
610,4.46,-8.71,4.65
620,4.77,-8.84,5.79
630,4.57,-8.8,6.56
640,4.18,-8.73,6.99
650,3.62,-8.58,7.11
660,2.84,-8.32,6.93
670,2.12,-7.82,6.72
680,1.27,-7.36,6.5
690,0.28,-6.74,6.23
700,-0.74,-5.98,5.84
710,-1.86,-5.14,5.25
720,-3.03,-4.36,4.28
730,-4.1,-3.66,2.95
740,-5.24,-3.07,1.5
750,-6.33,-2.48,0.23
760,-7.42,-1.77,-0.72
770,-8.5,-1.37,-1.5
780,-9.47,-1.09,-2.35
790,-9.84,-0.79,-3.15
800,-9.11,-0.11,-3.97
810,-8.13,0.58,-5.38
820,-7.22,0.7,-7.64
830,-5.18,0.6,-10.7
840,-4.48,1.01,-13.5
850,-4.04,1.69,-15.02
860,-3.18,2.52,-14.9
870,-2.1,3.85,-13.12
880,-1.32,5.3,-10.78
890,0.06,6.6,-8.34
900,1.14,7.52,-6.28
910,1.01,8.71,-4.44
920,-0.08,9.87,-2.83
930,-1.56,10.85,-1.47
940,-2.19,11.66,-0.21
950,-2.64,12.37,0.98
960,-2.74,13.45,2.9
970,-2.13,14.46,5.4
980,-1.12,15.37,8.66
990,-0.79,16.46,12.06
1000,-0.99,17.8,15.64
