timestamp,x,y,z
0,-4.93,-8.38,4.08
10,-5.04,-8.58,4.25
20,-5.14,-8.8,4.52
30,-5.08,-9.08,4.88
40,-4.92,-9.35,5.28
50,-4.8,-9.54,5.78
60,-4.84,-9.63,6.31
70,-5.05,-9.66,6.78
80,-5.41,-9.63,7.18
90,-5.78,-9.58,7.58
100,-6.1,-9.53,7.86
110,-6.22,-9.49,8.05
120,-6.13,-9.39,8.18
130,-5.84,-9.24,8.19
140,-5.57,-9.06,8.02
150,-5.33,-8.84,7.62
160,-5.05,-8.65,6.92
170,-4.81,-8.5,6.16
180,-4.54,-8.28,5.54
190,-4.33,-7.97,5.08
200,-4.14,-7.59,4.71
210,-3.96,-7.22,4.3
220,-3.87,-6.83,3.85
230,-3.8,-6.41,3.33
240,-3.79,-5.99,2.75
250,-3.87,-5.56,2.16
260,-3.9,-5.17,1.56
270,-3.89,-4.79,0.98
280,-3.72,-4.41,0.38
290,-3.56,-4.02,-0.25
300,-3.36,-3.64,-0.99
310,-3.28,-3.42,-1.8
320,-3.16,-3.27,-2.58
330,-2.94,-3.03,-3.23
340,-2.72,-2.75,-3.76
350,-2.76,-2.44,-4.29
360,-2.75,-2.09,-4.67
370,-2.74,-1.74,-5.03
380,-2.76,-1.32,-5.31
390,-2.94,-0.98,-5.63
400,-3.2,-0.69,-5.98
410,-3.56,-0.42,-6.32
420,-3.75,-0.23,-6.51
430,-3.66,-0.05,-6.44
440,-3.51,0.2,-6.27
450,-3.19,0.39,-6.03
460,-2.64,0.55,-5.59
470,-2.09,0.68,-5.0
480,-1.49,0.89,-4.29
490,-1.01,1.08,-3.48
500,-1.15,1.41,-2.38
510,-1.99,1.96,-1.08
520,-3.18,2.54,0.21
530,-4.3,3.01,1.42
540,-5.34,3.56,2.87
550,-6.21,4.14,4.83
560,-6.9,4.64,7.22
570,-7.69,4.84,9.64
580,-8.52,4.86,12.03
590,-9.28,4.53,13.99
600,-9.81,4.08,15.46
610,-10.15,3.71,16.36
620,-9.73,3.21,17.02
630,-9.63,2.63,17.15
640,-9.95,2.07,16.8
650,-10.59,1.63,16.34
660,-11.12,1.36,15.78
670,-11.31,1.1,15.07
680,-11.23,0.85,14.28
690,-11.08,0.84,13.63
700,-10.89,1.09,13.06
710,-10.69,1.39,12.51
720,-10.39,1.67,12.0
730,-10.18,1.98,11.53
740,-10.04,2.28,11.13
750,-10.05,2.46,10.74
760,-9.93,2.51,10.31
770,-9.62,2.47,9.8
780,-9.21,2.37,9.26
790,-8.66,2.22,8.72
800,-8.12,2.03,8.15
810,-7.49,1.83,7.56
820,-6.84,1.55,6.98
830,-6.22,1.35,6.43
840,-5.6,1.13,5.82
850,-5.13,0.87,5.2
860,-4.74,0.62,4.63
870,-4.38,0.4,4.27
880,-3.97,0.22,4.14
890,-3.65,0.06,4.17
900,-3.41,0.05,4.41
910,-3.19,0.15,4.75
920,-3.11,0.24,5.08
930,-3.07,0.4,5.33
940,-3.25,0.64,5.62
950,-3.9,1.06,6.05
960,-5.31,1.73,6.98
970,-8.2,2.81,8.41
980,-11.42,4.17,10.39
990,-14.67,5.41,12.55
1000,-17.31,6.44,14.23
