timestamp,x,y,z
0,-3.41,-5.31,7.0
10,-3.36,-5.31,6.89
20,-3.39,-5.36,6.88
30,-3.41,-5.36,7.01
40,-3.41,-5.34,7.13
50,-3.34,-5.35,7.2
60,-3.23,-5.35,7.23
70,-3.22,-5.33,7.11
80,-3.21,-5.34,7.08
90,-3.21,-5.33,7.1
100,-3.1,-5.3,7.19
110,-3.02,-5.32,7.21
120,-3.15,-5.36,7.13
130,-3.15,-5.37,7.1
140,-3.07,-5.35,7.15
150,-3.06,-5.32,7.11
160,-2.96,-5.36,7.05
170,-2.76,-5.34,6.92
180,-2.54,-5.32,6.77
190,-2.33,-5.26,6.7
200,-2.21,-5.24,6.69
210,-2.19,-5.26,6.5
220,-2.13,-5.26,6.2
230,-2.18,-5.43,5.86
240,-2.3,-5.51,5.09
250,-2.15,-5.53,4.47
260,-1.84,-5.64,4.03
270,-1.68,-5.6,3.67
280,-1.64,-5.66,3.58
290,-1.62,-5.55,3.43
300,-1.54,-5.48,2.83
310,-1.45,-5.42,1.86
320,-1.22,-5.35,0.68
330,-0.81,-5.2,-0.49
340,-0.41,-4.91,-1.48
350,0.0,-4.48,-2.2
360,0.22,-3.95,-2.83
370,0.72,-3.4,-3.26
380,1.35,-2.8,-3.41
390,1.65,-2.12,-3.11
400,1.55,-1.23,-2.36
410,0.97,-0.32,-1.82
420,0.34,0.47,-1.78
430,-0.44,1.19,-2.16
440,-1.36,2.04,-2.35
450,-1.91,3.18,-2.08
460,-2.18,4.5,-1.51
470,-2.27,5.87,-0.86
480,-2.66,7.23,0.09
490,-3.6,8.51,1.57
500,-5.21,9.74,4.21
510,-7.47,10.78,8.02
520,-10.46,12.05,13.47
530,-15.67,13.44,19.56
540,-20.99,13.88,24.18
550,-23.55,12.98,26.41
560,-24.15,11.54,27.96
570,-25.15,10.74,30.11
580,-27.23,10.5,32.31
590,-28.65,10.41,32.36
600,-25.77,10.03,29.6
610,-19.58,9.17,25.48
620,-14.19,8.69,21.44
630,-10.74,7.93,17.89
640,-9.18,7.49,14.57
650,-8.85,7.02,11.38
660,-9.0,6.56,8.61
670,-8.71,6.17,6.43
680,-7.71,5.78,5.23
690,-6.54,5.36,4.9
700,-5.67,4.99,5.29
710,-5.92,4.41,5.72
720,-7.22,3.87,5.94
730,-9.26,3.45,5.69
740,-9.98,3.14,5.22
750,-9.71,2.94,4.76
760,-8.85,2.64,4.67
770,-7.74,2.42,5.76
780,-6.88,2.51,7.83
790,-6.06,2.9,10.0
800,-4.94,3.2,11.49
810,-3.62,3.3,12.42
820,-2.3,3.27,13.01
830,-0.79,3.14,12.9
840,0.44,2.8,11.99
850,1.36,2.15,10.52
860,1.71,1.19,8.87
870,1.3,0.45,7.33
880,1.02,-0.01,6.29
890,0.97,-0.46,5.29
900,1.08,-0.91,4.15
910,1.41,-1.36,3.02
920,2.09,-1.74,1.99
930,2.69,-2.43,0.88
940,3.06,-3.02,-0.48
950,3.68,-3.42,-1.67
960,4.44,-3.97,-2.54
970,5.1,-4.56,-2.91
980,5.67,-4.82,-2.42
990,5.91,-5.05,-1.27
1000,5.83,-5.0,0.07
