timestamp,x,y,z
0,-2.39,-1.54,1.53
10,-2.22,-1.36,0.97
20,-1.97,-1.01,0.37
30,-1.61,-0.72,-0.12
40,-1.15,-0.45,-0.54
50,-0.61,0.18,-0.51
60,-0.27,0.68,-0.02
70,-0.21,1.32,0.82
80,-0.95,2.36,1.77
90,-1.53,3.12,2.9
100,-2.04,3.55,4.21
110,-2.14,4.22,5.76
120,-1.82,4.8,7.66
130,-1.45,5.01,9.56
140,-1.02,5.3,11.11
150,-0.55,5.5,12.34
160,-0.64,6.18,13.84
170,-1.1,6.92,15.89
180,-1.63,7.55,17.96
190,-2.14,8.02,19.33
200,-2.34,8.18,19.52
210,-2.08,7.93,18.67
220,-1.42,7.62,17.07
230,-0.57,7.24,15.52
240,0.29,6.85,14.44
250,0.89,6.8,13.95
260,0.93,6.65,13.65
270,-2.3,7.71,15.7
280,-1.64,6.81,14.39
290,-3.43,7.12,13.91
300,-4.48,7.39,13.55
310,-5.43,7.41,13.34
320,-4.55,7.19,12.39
330,-4.29,6.85,11.75
340,-2.47,6.43,10.8
350,-1.83,6.11,8.89
360,-1.68,6.01,8.12
370,-2.33,6.24,8.78
380,-3.35,6.79,10.28
390,-4.56,7.65,11.97
400,-5.8,8.47,13.19
410,-6.8,9.22,14.01
420,-7.84,10.09,14.64
430,-8.88,11.08,15.25
440,-9.5,11.9,15.69
450,-10.07,12.35,15.07
460,-9.53,12.33,13.24
470,-8.15,11.87,10.95
480,-6.96,11.2,9.17
490,-6.08,10.48,8.82
500,-5.8,10.09,10.38
510,-6.11,10.36,13.39
520,-6.36,11.06,16.3
530,-5.87,11.74,18.04
540,-4.57,12.23,17.97
550,-2.56,12.37,16.31
560,-0.3,11.93,13.8
570,1.75,11.15,10.92
580,3.61,10.11,7.73
590,4.94,8.65,4.0
600,5.43,6.67,0.14
610,5.53,4.52,-2.83
620,5.89,1.17,-5.69
630,7.25,-1.26,-7.67
640,7.96,-3.28,-8.34
650,8.6,-4.41,-7.31
660,9.43,-4.98,-4.99
670,9.52,-5.39,-2.47
680,9.56,-5.64,-0.34
690,9.55,-5.89,1.52
700,9.36,-6.17,2.7
710,9.19,-6.28,3.39
720,8.56,-6.37,3.32
730,7.17,-6.25,2.79
740,5.42,-6.12,2.19
750,3.89,-6.07,1.97
760,2.63,-6.01,1.99
770,1.54,-5.84,2.39
780,0.74,-5.65,3.45
790,0.11,-5.49,5.03
800,-0.43,-5.23,6.74
810,-1.03,-5.01,8.39
820,-1.73,-4.93,9.63
830,-2.42,-4.89,10.19
840,-2.85,-5.03,10.09
850,-3.01,-5.25,9.37
860,-2.79,-5.48,8.42
870,-2.34,-5.86,7.47
880,-1.62,-6.21,6.83
890,-0.64,-6.5,6.66
900,0.43,-6.67,6.84
910,1.54,-6.83,7.1
920,2.44,-6.87,7.33
930,3.42,-7.09,7.53
940,4.32,-7.16,7.59
950,5.16,-7.23,7.57
960,5.97,-7.41,7.5
970,6.67,-7.41,7.43
980,7.18,-7.33,7.37
990,7.29,-7.1,7.46
1000,6.84,-6.73,7.65
