timestamp,x,y,z
0,-8.41,-4.59,9.79
10,-7.57,-4.36,13.84
20,-5.47,-2.93,16.15
30,-3.32,-3.3,17.09
40,-0.45,-5.12,14.57
50,2.38,-10.03,8.17
60,1.75,-10.62,2.55
70,1.5,-9.18,1.98
80,0.47,-8.14,5.16
90,-1.52,-7.57,8.56
100,-1.07,-7.43,12.79
110,-1.07,-7.21,14.55
120,-1.22,-7.93,13.35
130,-0.02,-8.09,11.73
140,0.56,-8.19,11.22
150,0.28,-8.15,11.31
160,-0.28,-7.81,11.26
170,-0.91,-7.34,10.65
180,-1.05,-6.69,9.48
190,-1.65,-6.47,8.2
200,-2.24,-5.98,7.43
210,-2.6,-5.4,6.06
220,-2.85,-4.97,4.61
230,-3.08,-4.71,3.15
240,-3.31,-4.47,2.06
250,-3.67,-4.18,1.36
260,-3.87,-3.93,0.81
270,-3.84,-3.61,0.02
280,-3.28,-3.39,-1.17
290,-2.5,-3.46,-2.69
300,-1.72,-3.44,-4.13
310,-1.24,-3.21,-5.39
320,-0.86,-2.75,-6.23
330,-0.57,-2.19,-6.92
340,-0.34,-1.71,-7.27
350,-0.22,-1.09,-7.14
360,-0.05,-0.43,-6.93
370,-0.16,0.56,-6.53
380,-0.54,1.58,-6.02
390,-0.92,2.36,-5.27
400,-1.29,3.1,-4.35
410,-1.58,4.07,-3.25
420,-1.84,5.06,-2.06
430,-1.93,5.46,-1.84
440,-2.4,6.54,-1.77
450,-2.08,7.39,-1.91
460,-3.17,8.49,-0.14
470,-3.13,9.49,4.07
480,-2.07,9.1,10.39
490,-1.59,11.45,21.35
500,-1.32,6.94,31.06
510,0.18,1.75,27.63
520,1.23,2.7,28.7
530,0.37,1.46,27.78
540,-0.96,0.36,28.41
550,-2.11,0.04,32.88
560,-5.34,2.94,41.39
570,-8.71,4.23,41.26
580,-7.46,0.71,31.53
590,-4.1,-1.89,25.22
600,-2.88,-2.45,23.87
610,-3.66,-1.76,26.59
620,-4.94,0.08,29.61
630,-5.92,1.77,31.77
640,-5.87,3.84,33.39
650,-5.64,5.02,32.69
660,-5.61,6.4,30.41
670,-6.2,7.39,27.73
680,-6.23,7.92,24.67
690,-5.68,8.22,21.61
700,-4.72,8.09,18.7
710,-3.06,7.64,15.69
720,-0.72,6.78,12.85
730,1.45,5.97,10.29
740,3.03,5.27,8.08
750,4.16,4.94,6.04
760,5.59,4.72,4.57
770,6.72,3.83,1.83
780,6.52,2.78,-1.46
790,5.86,1.48,-4.41
800,5.56,0.25,-6.25
810,5.51,-0.95,-7.28
820,5.94,-2.15,-8.2
830,6.7,-3.48,-9.52
840,7.92,-5.0,-10.68
850,9.59,-6.49,-10.88
860,11.19,-7.43,-8.73
870,11.71,-7.45,-4.89
880,11.93,-7.93,-1.57
890,12.18,-8.09,1.45
900,12.24,-7.62,4.79
910,12.3,-7.28,7.04
920,11.99,-6.8,9.29
930,10.3,-5.64,12.0
940,7.45,-3.99,14.84
950,3.95,-2.39,16.59
960,0.69,-1.09,16.03
970,-2.09,-0.4,13.6
980,-4.15,0.03,10.58
990,-5.64,0.18,7.59
1000,-6.97,0.24,5.21
