timestamp,x,y,z
0,-5.08,-4.61,5.24
10,-5.07,-4.59,4.87
20,-5.07,-4.58,4.64
30,-5.02,-4.57,4.49
40,-5.07,-4.53,4.45
50,-5.04,-4.48,4.25
60,-4.8,-4.45,4.19
70,-4.71,-4.44,4.07
80,-4.52,-4.39,4.08
90,-4.32,-4.37,4.06
100,-4.34,-4.15,4.15
110,-4.25,-3.99,3.93
120,-3.79,-3.85,3.28
130,-3.22,-3.74,2.23
140,-2.55,-3.62,1.04
150,-1.96,-3.35,-0.04
160,-1.37,-2.98,-0.98
170,-1.5,-2.18,-2.09
180,-0.75,-1.73,-2.97
190,-0.02,-1.26,-3.76
200,0.72,-0.94,-4.5
210,1.39,-0.49,-5.55
220,2.44,0.06,-6.28
230,3.04,0.89,-6.49
240,3.18,2.19,-6.09
250,2.46,3.32,-5.5
260,1.35,4.37,-3.84
270,-0.52,5.55,-1.52
280,-0.89,6.82,0.88
290,-0.44,8.46,5.94
300,-2.08,9.72,11.68
310,-3.27,10.14,17.2
320,-4.07,9.9,21.22
330,-5.39,9.39,23.27
340,-6.86,8.72,23.36
350,-7.84,7.86,21.81
360,-7.91,7.05,19.41
370,-8.03,6.3,17.29
380,-8.97,6.16,16.55
390,-11.45,6.76,17.39
400,-14.04,7.65,19.66
410,-16.82,8.58,22.6
420,-18.98,9.5,25.49
430,-19.86,10.09,27.6
440,-18.9,10.11,28.45
450,-16.55,9.66,27.71
460,-13.25,8.79,25.62
470,-10.04,7.8,22.56
480,-7.64,7.08,19.27
490,-6.57,6.71,16.3
500,-7.0,6.73,13.91
510,-8.27,6.9,12.23
520,-9.4,7.15,11.32
530,-9.69,7.24,10.89
540,-9.02,7.27,11.04
550,-8.22,7.26,11.44
560,-7.4,7.08,11.81
570,-6.35,6.71,12.01
580,-5.08,6.22,12.07
590,-4.02,5.82,11.96
600,-3.36,5.51,11.54
610,-2.98,5.16,10.76
620,-3.06,4.96,9.75
630,-3.15,4.9,8.62
640,-2.77,4.46,7.44
650,-1.58,3.77,6.09
660,0.43,2.98,4.74
670,2.69,1.87,3.42
680,3.97,0.7,2.25
690,4.56,-0.18,1.43
700,4.83,-1.0,0.79
710,5.16,-1.64,0.53
720,5.52,-2.27,0.7
730,6.08,-2.76,1.51
740,6.47,-3.07,2.63
750,6.82,-3.43,3.79
760,7.22,-3.73,4.7
770,7.48,-3.98,5.43
780,7.57,-4.18,5.99
790,7.53,-4.35,6.51
800,7.41,-4.52,7.02
810,7.21,-4.64,7.61
820,6.87,-4.62,8.42
830,6.48,-4.54,9.22
840,6.02,-4.49,9.89
850,5.4,-4.32,10.23
860,4.37,-4.06,10.18
870,2.81,-3.67,9.92
880,0.75,-3.12,9.54
890,-1.33,-2.71,9.09
900,-3.22,-2.34,8.57
910,-4.89,-2.0,8.09
920,-6.4,-1.74,7.59
930,-7.78,-1.66,7.1
940,-9.09,-1.56,6.61
950,-10.26,-1.51,6.14
960,-10.99,-1.58,5.62
970,-11.16,-1.74,4.92
980,-11.01,-1.95,4.09
990,-10.88,-2.08,3.26
1000,-11.14,-2.1,2.41
