timestamp,x,y,z
0,-5.04,0.46,4.83
10,-4.53,0.91,4.71
20,-4.33,1.45,4.44
30,-4.71,2.18,4.45
40,-5.69,2.98,4.76
50,-6.95,3.91,5.27
60,-8.06,4.79,5.96
70,-8.9,5.39,6.75
80,-9.34,5.59,7.46
90,-9.43,5.66,8.01
100,-9.06,5.53,8.26
110,-8.2,5.43,8.18
120,-7.22,5.37,7.83
130,-6.5,5.55,7.33
140,-6.06,5.7,6.65
150,-5.77,5.77,6.06
160,-5.83,5.89,5.47
170,-6.06,6.19,5.11
180,-6.35,6.44,4.97
190,-6.7,6.73,5.05
200,-6.87,6.94,5.23
210,-6.63,7.03,5.57
220,-6.17,7.19,6.01
230,-5.55,7.46,6.64
240,-4.9,7.75,7.31
250,-4.42,8.03,7.96
260,-4.6,8.42,8.41
270,-5.28,8.8,8.49
280,-6.03,8.93,8.11
290,-6.9,9.15,7.48
300,-7.64,9.32,6.84
310,-8.17,9.47,6.32
320,-8.41,9.61,6.06
330,-8.56,9.86,6.03
340,-8.65,10.14,6.39
350,-9.23,10.63,7.15
360,-10.06,11.18,8.31
370,-11.76,12.04,9.6
380,-12.73,12.56,10.69
390,-13.17,12.95,11.41
400,-13.13,13.27,11.59
410,-12.77,13.57,11.29
420,-12.22,13.69,10.66
430,-11.2,13.65,9.95
440,-10.13,13.42,9.2
450,-9.12,13.28,8.48
460,-8.43,13.01,8.25
470,-7.67,12.88,8.73
480,-6.69,12.57,9.78
490,-6.4,12.36,11.14
500,-7.02,12.97,12.71
510,-7.83,14.07,14.43
520,-8.31,15.81,16.39
530,-7.76,18.05,17.5
540,-4.58,18.82,16.35
550,-0.91,18.04,11.96
560,2.67,16.38,6.41
570,5.66,13.66,1.43
580,6.98,9.39,-3.06
590,8.69,5.18,-6.88
600,10.41,1.35,-10.78
610,10.81,-2.23,-12.84
620,10.32,-4.94,-12.9
630,9.33,-6.65,-11.81
640,7.91,-7.54,-10.2
650,6.38,-8.05,-8.38
660,4.98,-8.13,-6.59
670,3.92,-8.33,-5.01
680,3.0,-8.27,-3.78
690,2.16,-8.2,-3.02
700,1.39,-8.04,-2.67
710,0.75,-7.99,-2.53
720,0.05,-8.05,-2.53
730,-0.59,-8.06,-2.4
740,-1.09,-8.11,-2.09
750,-1.55,-8.21,-1.69
760,-1.92,-8.37,-1.21
770,-2.3,-8.52,-0.62
780,-2.58,-8.54,0.1
790,-2.94,-8.52,1.0
800,-3.17,-8.46,2.21
810,-3.33,-8.36,3.45
820,-3.41,-8.11,4.9
830,-3.5,-7.75,6.54
840,-3.78,-7.46,8.1
850,-4.14,-7.29,9.38
860,-4.4,-7.15,10.05
870,-4.45,-7.1,10.09
880,-4.38,-7.19,9.25
890,-4.26,-7.3,7.82
900,-4.01,-7.54,6.07
910,-3.8,-7.86,4.34
920,-3.64,-8.15,2.86
930,-3.57,-8.32,1.76
940,-3.59,-8.44,1.02
950,-3.7,-8.43,0.75
960,-3.89,-8.24,1.0
970,-4.13,-8.07,1.64
980,-4.43,-7.89,2.49
990,-4.68,-7.63,3.32
1000,-4.93,-7.4,4.07
