timestamp,x,y,z
0,-3.67,0.87,4.86
10,-4.55,1.3,5.18
20,-5.23,1.54,5.09
30,-5.51,1.66,4.74
40,-5.42,1.73,4.19
50,-5.22,1.83,3.71
60,-5.25,2.0,3.39
70,-5.62,2.22,3.29
80,-6.15,2.43,3.33
90,-6.71,2.7,3.41
100,-7.19,3.06,3.45
110,-7.58,3.37,3.51
120,-7.84,3.53,3.57
130,-7.95,3.64,3.43
140,-8.0,3.71,3.1
150,-7.91,3.87,2.87
160,-7.87,4.14,2.8
170,-7.98,4.49,3.05
180,-8.27,4.97,3.56
190,-8.6,5.36,4.13
200,-8.89,5.76,4.46
210,-9.01,5.93,4.47
220,-8.99,6.1,4.21
230,-8.77,6.22,3.88
240,-8.29,6.44,3.79
250,-7.8,6.79,4.15
260,-7.41,7.21,4.84
270,-7.35,7.69,5.58
280,-7.67,8.02,6.16
290,-8.22,8.33,6.41
300,-8.6,8.61,6.63
310,-8.58,8.94,7.0
320,-8.17,9.32,7.7
330,-7.6,9.75,8.73
340,-7.2,10.11,9.83
350,-7.24,10.5,10.96
360,-7.8,10.83,12.08
370,-8.5,11.0,13.06
380,-8.95,11.05,13.47
390,-8.92,10.91,13.23
400,-8.7,10.69,12.77
410,-8.55,10.43,12.59
420,-8.41,10.0,12.68
430,-7.78,9.46,12.82
440,-6.85,8.82,12.78
450,-5.64,7.86,12.36
460,-4.52,6.91,11.49
470,-3.68,6.15,10.46
480,-3.09,5.38,9.56
490,-2.72,4.74,8.89
500,-2.46,4.21,8.8
510,-2.36,4.0,9.04
520,-2.27,4.02,9.29
530,-2.11,3.94,9.65
540,-1.92,3.87,10.13
550,-1.62,3.81,10.53
560,-1.03,3.63,10.72
570,-0.27,3.27,10.68
580,0.46,2.91,10.55
590,0.91,2.7,10.53
600,1.06,2.61,10.76
610,0.8,2.58,11.26
620,0.32,2.7,11.87
630,-0.2,2.85,12.2
640,-0.51,2.82,12.12
650,-0.41,2.69,11.6
660,0.11,2.35,10.71
670,0.87,1.83,9.85
680,1.53,1.39,9.23
690,1.85,1.0,8.99
700,1.77,0.75,8.96
710,1.32,0.63,9.01
720,0.69,0.61,8.96
730,-0.0,0.62,8.88
740,-0.66,0.47,8.71
750,-1.13,0.21,8.29
760,-1.32,-0.14,7.52
770,-1.12,-0.68,6.58
780,-0.72,-1.16,5.81
790,-0.19,-1.58,5.32
800,0.19,-1.79,5.15
810,0.21,-1.91,5.21
820,-0.03,-1.94,5.37
830,-0.52,-1.87,5.43
840,-1.15,-1.78,5.29
850,-1.61,-1.72,4.91
860,-1.73,-1.73,4.38
870,-1.6,-1.71,3.88
880,-1.35,-1.65,3.55
890,-1.2,-1.48,3.33
900,-1.17,-1.19,3.23
910,-1.28,-0.91,3.23
920,-1.36,-0.6,3.37
930,-1.4,-0.21,3.6
940,-1.41,0.17,3.79
950,-1.53,0.52,3.88
960,-1.81,0.87,3.89
970,-2.27,1.3,3.77
980,-2.8,1.68,3.58
990,-3.43,2.12,3.43
1000,-4.15,2.54,3.46
