timestamp,x,y,z
0,-3.48,-0.23,-5.82
10,-4.73,0.23,-6.01
20,-5.83,0.94,-5.45
30,-6.38,1.66,-4.16
40,-6.68,2.63,-2.8
50,-7.0,4.11,-0.69
60,-7.51,5.83,1.52
70,-8.37,6.91,4.23
80,-9.93,7.68,7.55
90,-10.15,8.38,9.5
100,-10.19,8.65,11.26
110,-10.94,8.64,12.64
120,-11.02,9.03,13.21
130,-11.0,9.76,13.52
140,-10.96,9.69,14.01
150,-10.95,9.03,14.21
160,-10.9,8.13,13.96
170,-10.05,7.5,13.34
180,-8.63,7.24,12.91
190,-6.98,7.15,12.83
200,-5.35,7.26,13.4
210,-3.86,7.14,14.57
220,-2.55,6.83,16.03
230,-1.45,6.49,17.65
240,-0.39,6.05,19.12
250,1.26,5.32,20.21
260,2.79,4.73,20.63
270,4.3,4.37,20.58
280,5.97,4.26,20.31
290,7.46,4.29,19.89
300,8.9,4.49,19.41
310,9.75,4.7,18.78
320,10.51,4.64,18.19
330,11.24,4.69,17.25
340,11.97,4.71,16.14
350,12.47,4.7,14.83
360,13.16,4.63,13.51
370,13.99,4.64,12.06
380,14.54,4.38,10.39
390,14.96,4.01,8.6
400,15.07,3.29,6.59
410,14.84,2.7,4.47
420,13.81,1.9,2.34
430,12.53,1.4,0.55
440,11.64,0.88,-0.59
450,10.4,0.82,-1.31
460,9.08,1.23,-1.82
470,7.59,1.72,-2.25
480,5.99,1.87,-2.88
490,4.47,1.91,-3.97
500,3.36,2.05,-5.67
510,2.37,2.23,-7.69
520,1.51,2.35,-9.68
530,0.01,2.5,-11.74
540,-1.5,3.3,-13.14
550,-3.05,4.39,-13.54
560,-5.58,6.11,-11.68
570,-9.38,8.23,-7.34
580,-15.83,10.28,-1.19
590,-19.57,11.21,2.54
600,-21.89,10.86,6.48
610,-21.44,10.14,8.6
620,-19.5,8.98,9.12
630,-15.73,7.8,8.02
640,-11.88,6.42,6.59
650,-8.72,5.55,6.16
660,-6.87,5.59,8.26
670,-6.7,6.14,12.42
680,-7.71,6.89,16.92
690,-8.63,7.29,21.3
700,-9.24,7.14,24.07
710,-9.28,6.77,25.23
720,-9.04,6.37,25.04
730,-8.51,5.98,24.44
740,-7.58,5.91,24.21
750,-6.57,5.45,24.32
760,-5.03,5.22,24.66
770,-3.54,4.92,24.39
780,-1.81,4.58,23.23
790,0.05,4.2,21.43
800,2.06,4.02,19.71
810,4.21,3.86,18.68
820,6.42,3.66,18.12
830,8.19,3.48,17.9
840,10.13,3.56,17.95
850,11.86,3.67,17.79
860,13.36,3.65,17.31
870,14.46,3.51,16.4
880,15.02,3.38,15.05
890,15.19,3.05,13.5
900,15.19,2.65,12.11
910,14.71,2.42,10.92
920,13.57,2.36,9.77
930,11.93,2.43,8.63
940,10.11,2.73,7.7
950,8.44,3.0,6.85
960,7.1,3.32,5.88
970,6.64,3.31,5.18
980,5.75,3.45,4.49
990,5.15,3.76,4.11
1000,5.16,3.68,3.65
