timestamp,x,y,z
0,-8.92,-0.42,1.63
10,-10.87,-0.14,1.92
20,-12.75,0.36,2.91
30,-14.45,0.94,4.51
40,-15.19,1.65,7.78
50,-15.09,2.53,12.13
60,-14.05,3.04,16.38
70,-13.04,3.49,20.22
80,-12.57,3.9,23.1
90,-12.61,4.33,24.07
100,-13.17,4.36,23.13
110,-13.75,4.97,21.84
120,-13.98,5.29,20.95
130,-12.36,5.68,20.93
140,-8.9,5.56,21.0
150,-4.47,5.51,20.9
160,-0.05,5.39,20.42
170,4.22,4.72,19.35
180,7.95,3.75,17.66
190,11.06,2.72,16.5
200,13.76,1.94,16.0
210,14.37,1.57,15.93
220,13.14,1.6,16.06
230,10.91,1.83,15.83
240,8.68,1.94,14.72
250,7.01,1.71,12.77
260,5.96,1.29,10.41
270,5.18,0.76,7.88
280,4.66,0.22,5.56
290,4.02,-0.51,3.24
300,3.51,-1.19,1.43
310,3.22,-1.69,0.28
320,3.64,-2.16,-0.12
330,4.4,-2.4,0.08
340,4.98,-2.49,0.69
350,4.77,-2.37,1.34
360,3.68,-2.08,1.58
370,2.21,-1.89,1.09
380,1.26,-1.93,0.18
390,1.3,-2.12,-0.36
400,2.09,-2.23,-0.32
410,3.03,-2.15,0.52
420,3.52,-1.81,1.87
430,2.47,-1.15,3.34
440,-0.09,-0.17,4.81
450,-3.65,1.36,6.32
460,-8.36,1.9,7.69
470,-12.39,2.49,8.96
480,-16.04,2.46,9.37
490,-18.0,1.98,8.77
500,-17.59,1.36,7.49
510,-15.93,0.84,7.1
520,-14.74,0.79,8.75
530,-14.29,1.12,12.41
540,-14.03,1.84,17.49
550,-12.54,2.26,21.62
560,-9.95,2.21,23.13
570,-7.35,1.9,22.01
580,-5.65,1.85,19.98
590,-4.58,2.21,18.64
600,-3.22,2.88,18.82
610,-1.29,3.7,20.42
620,1.49,4.57,22.65
630,4.89,5.18,24.78
640,8.35,5.43,25.76
650,12.56,4.81,25.07
660,15.78,3.79,22.98
670,17.03,2.95,20.13
680,16.42,2.08,16.87
690,14.5,1.36,13.81
700,12.23,0.66,11.37
710,10.2,0.16,9.6
720,8.54,-0.22,8.15
730,7.22,-0.58,6.75
740,6.08,-0.94,5.34
750,5.01,-1.33,3.95
760,3.9,-1.62,2.56
770,2.98,-1.91,1.2
780,2.51,-2.29,0.1
790,2.38,-2.55,-0.68
800,2.38,-2.74,-1.15
810,2.17,-2.77,-1.37
820,1.54,-2.62,-1.47
830,0.52,-2.49,-1.64
840,-0.79,-2.43,-1.95
850,-1.79,-2.35,-2.21
860,-2.06,-2.26,-2.23
870,-1.71,-2.1,-1.7
880,-1.25,-1.88,-0.62
890,-1.37,-1.61,0.52
900,-2.15,-1.17,1.18
910,-3.27,-0.9,1.15
920,-4.5,-0.58,0.67
930,-5.85,-0.26,0.5
940,-7.19,0.3,1.09
950,-8.87,0.95,2.66
960,-10.93,1.89,5.41
970,-13.57,2.99,9.59
980,-16.22,4.11,14.75
990,-17.48,4.31,18.76
1000,-16.93,3.52,20.3
