timestamp,x,y,z
0,-13.58,3.3,12.13
10,-12.93,3.36,13.78
20,-11.96,3.67,16.0
30,-10.91,3.81,18.09
40,-10.21,3.95,19.56
50,-9.82,4.27,20.36
60,-9.69,4.51,20.55
70,-9.1,4.92,20.49
80,-7.91,5.33,20.5
90,-6.42,5.74,20.8
100,-4.58,6.29,21.98
110,-2.27,7.27,23.98
120,0.42,7.98,25.95
130,3.76,8.45,27.01
140,7.14,8.11,26.25
150,9.92,7.27,24.27
160,12.28,6.5,21.55
170,12.76,5.26,18.48
180,11.91,4.24,15.77
190,10.62,3.44,13.93
200,9.46,2.9,12.9
210,9.11,2.44,11.65
220,9.83,1.72,9.37
230,9.96,0.64,6.61
240,9.4,-0.1,4.48
250,8.28,-0.23,2.83
260,5.95,-0.67,1.07
270,4.02,-1.13,-0.21
280,2.33,-1.77,-1.17
290,1.98,-1.97,-1.69
300,1.97,-2.46,-2.24
310,2.58,-2.74,-2.46
320,3.26,-2.8,-2.54
330,3.44,-2.7,-2.61
340,2.7,-2.32,-2.8
350,1.04,-1.87,-3.05
360,-0.79,-1.45,-2.97
370,-2.07,-0.88,-2.23
380,-2.09,-0.42,-0.78
390,-1.37,0.05,0.97
400,-0.77,0.43,2.33
410,-1.04,0.81,3.04
420,-2.01,1.31,3.35
430,-3.19,1.8,3.57
440,-4.64,2.58,4.06
450,-6.33,2.97,4.91
460,-8.39,3.53,6.49
470,-10.37,4.6,9.52
480,-12.63,5.55,13.82
490,-14.2,5.7,17.55
500,-14.56,5.49,19.58
510,-14.37,4.66,19.41
520,-14.14,4.23,18.06
530,-14.73,3.25,16.29
540,-14.77,2.78,14.91
550,-14.33,2.37,13.68
560,-13.3,2.27,12.67
570,-12.24,2.6,12.41
580,-10.96,3.34,13.46
590,-8.99,4.38,15.51
600,-6.22,5.18,18.12
610,-2.66,6.18,20.96
620,0.96,6.45,23.32
630,4.08,6.34,24.25
640,6.79,5.86,23.85
650,8.71,5.35,22.51
660,9.22,4.84,20.22
670,8.62,4.23,17.8
680,7.68,3.94,16.14
690,7.05,3.67,15.55
700,7.29,3.53,15.55
710,8.1,3.11,14.91
720,8.83,2.46,13.47
730,9.07,1.91,11.76
740,8.54,1.57,9.93
750,7.24,1.32,7.92
760,5.52,0.89,5.88
770,4.07,0.62,4.04
780,2.81,-0.02,2.43
790,2.44,-0.57,1.44
800,2.75,-1.06,0.88
810,3.39,-1.5,0.64
820,3.71,-1.75,0.7
830,3.51,-1.7,1.16
840,2.86,-1.49,1.63
850,1.88,-1.23,1.62
860,0.67,-1.07,1.04
870,-0.52,-0.9,0.4
880,-1.55,-0.82,-0.01
890,-2.23,-0.76,0.07
900,-2.36,-0.68,0.82
910,-2.14,-0.53,1.98
920,-2.17,-0.46,2.9
930,-2.79,-0.27,3.4
940,-4.07,0.08,3.64
950,-5.71,0.3,3.96
960,-7.39,0.74,4.52
970,-9.15,0.96,5.16
980,-10.79,1.26,5.89
990,-12.39,1.36,6.75
1000,-13.69,1.7,7.77
