timestamp,x,y,z
0,1.85,1.88,0.36
10,0.27,2.11,0.26
20,-1.32,2.29,0.75
30,-3.22,3.08,1.73
40,-5.6,4.15,3.08
50,-7.89,4.57,4.25
60,-9.9,5.1,4.87
70,-14.02,5.71,7.52
80,-15.64,6.01,8.87
90,-15.87,6.02,9.3
100,-17.24,5.4,11.16
110,-17.08,4.65,12.02
120,-15.32,3.84,11.62
130,-12.79,2.97,11.1
140,-10.01,2.05,11.02
150,-6.97,1.62,11.44
160,-4.75,1.82,12.79
170,-2.8,2.55,15.26
180,-1.28,3.42,18.68
190,0.36,3.96,21.98
200,1.99,4.28,24.11
210,3.8,4.69,25.11
220,5.95,5.08,25.06
230,7.91,5.03,23.99
240,9.71,4.52,22.29
250,11.31,3.77,20.22
260,12.81,3.09,18.04
270,13.96,2.19,15.87
280,14.91,1.19,13.82
290,15.68,0.16,11.87
300,16.03,-0.85,9.95
310,15.81,-1.65,8.26
320,15.12,-2.22,6.9
330,14.09,-2.5,5.96
340,12.99,-2.5,5.26
350,11.89,-2.43,4.7
360,10.98,-2.3,4.3
370,10.34,-2.07,4.0
380,9.74,-1.88,3.67
390,8.96,-1.66,3.26
400,7.92,-1.44,2.73
410,6.7,-1.05,2.42
420,5.35,-0.45,2.47
430,3.88,-0.07,2.66
440,2.52,0.32,2.76
450,1.28,0.52,2.51
460,0.32,0.52,2.03
470,-0.34,0.56,1.53
480,-0.95,0.7,0.95
490,-1.8,0.79,0.22
500,-2.77,0.76,-0.39
510,-3.88,0.82,-0.58
520,-5.11,1.11,-0.32
530,-6.3,1.1,0.18
540,-7.34,1.37,0.91
550,-8.16,1.71,1.99
560,-9.13,2.04,3.03
570,-11.04,2.23,4.82
580,-11.56,2.37,5.26
590,-12.22,2.24,5.73
600,-13.3,2.07,6.75
610,-13.89,1.98,7.83
620,-14.0,2.34,9.26
630,-13.33,2.93,11.02
640,-11.84,3.37,12.88
650,-9.92,3.53,14.7
660,-7.83,3.63,16.82
670,-5.91,3.73,19.01
680,-4.17,3.95,21.05
690,-2.58,4.19,22.75
700,-1.23,4.4,23.88
710,-0.02,4.35,24.12
720,1.22,4.02,23.54
730,2.4,3.62,22.37
740,3.6,3.14,20.83
750,4.86,2.69,19.3
760,6.04,2.22,17.94
770,7.26,1.64,16.79
780,8.43,1.16,15.95
790,9.45,0.79,15.44
800,10.36,0.44,15.02
810,11.18,0.01,14.5
820,11.81,-0.45,13.68
830,12.26,-0.72,12.57
840,12.25,-0.91,11.13
850,11.93,-1.3,9.38
860,11.45,-1.6,7.47
870,10.69,-1.66,5.63
880,9.97,-1.75,4.16
890,9.26,-1.86,2.77
900,8.74,-1.87,1.81
910,8.25,-1.74,1.44
920,7.56,-1.39,1.6
930,6.52,-0.84,2.05
940,5.31,-0.29,2.46
950,3.98,0.24,2.66
960,2.51,0.64,2.67
970,1.01,0.92,2.34
980,-0.36,1.14,1.75
990,-1.64,1.13,0.87
1000,-2.68,1.13,0.11
