timestamp,x,y,z
0,-4.95,1.27,9.83
10,-5.31,1.28,10.26
20,-5.72,1.27,10.33
30,-6.03,1.11,10.04
40,-6.17,1.32,9.88
50,-6.46,1.34,10.2
60,-6.8,1.72,11.14
70,-6.86,2.03,12.74
80,-6.98,2.37,14.45
90,-6.96,2.62,15.84
100,-6.92,2.85,16.7
110,-6.87,3.1,17.14
120,-6.5,3.23,17.23
130,-5.97,3.32,16.74
140,-5.17,3.26,15.92
150,-4.15,3.2,15.04
160,-3.0,3.16,14.3
170,-1.81,3.21,13.86
180,-0.67,3.27,13.67
190,0.44,3.28,13.73
200,1.52,3.28,13.93
210,2.51,3.31,14.1
220,3.32,3.43,14.25
230,4.03,3.51,14.33
240,4.48,3.55,14.08
250,4.86,3.55,13.57
260,5.04,3.49,12.79
270,5.06,3.4,11.99
280,4.9,3.34,11.28
290,4.7,3.31,10.78
300,4.57,3.25,10.57
310,4.59,3.15,10.36
320,4.38,3.08,9.72
330,4.04,3.02,8.69
340,3.66,2.89,7.5
350,3.25,2.71,6.26
360,3.02,2.47,5.12
370,2.99,2.23,4.17
380,3.17,1.9,3.46
390,3.41,1.71,2.97
400,3.5,1.55,2.59
410,3.35,1.55,2.23
420,3.17,1.64,1.75
430,2.81,1.67,0.84
440,1.91,1.8,-0.6
450,1.16,1.63,-2.05
460,0.22,1.26,-3.26
470,-1.05,1.15,-4.05
480,-2.14,1.03,-4.1
490,-3.17,0.96,-3.38
500,-3.91,0.9,-2.4
510,-4.31,0.91,-1.43
520,-4.95,1.15,-0.57
530,-5.71,1.21,-0.1
540,-6.65,1.0,-0.26
550,-7.43,0.91,-0.72
560,-7.98,0.77,-1.26
570,-8.31,0.73,-1.61
580,-8.47,0.77,-1.58
590,-8.29,0.96,-1.14
600,-8.15,0.74,-0.54
610,-7.83,1.09,0.39
620,-7.98,1.65,1.39
630,-8.45,1.83,2.55
640,-9.34,2.22,3.31
650,-10.04,2.58,3.64
660,-10.64,2.88,3.55
670,-11.02,3.03,3.56
680,-10.93,3.25,3.97
690,-10.63,3.53,4.53
700,-10.21,3.84,5.13
710,-10.01,4.1,5.6
720,-9.91,4.51,6.16
730,-10.1,5.01,6.71
740,-10.48,5.4,7.29
750,-11.0,5.87,7.75
760,-11.39,6.25,7.8
770,-11.32,6.59,7.68
780,-10.86,6.88,7.66
790,-10.06,7.15,7.84
800,-9.31,7.43,8.44
810,-8.88,7.71,9.17
820,-8.94,8.11,9.96
830,-9.54,8.56,10.68
840,-10.48,9.08,11.43
850,-11.29,9.41,12.17
860,-11.56,9.62,12.75
870,-11.37,9.79,12.99
880,-10.98,9.84,13.07
890,-10.57,9.7,12.82
900,-10.34,9.62,12.37
910,-10.18,9.62,12.04
920,-9.69,9.65,11.59
930,-8.94,9.59,11.11
940,-7.94,9.39,11.02
950,-7.0,9.27,11.42
960,-6.11,9.09,12.11
970,-5.34,8.97,12.67
980,-4.67,8.79,12.45
990,-4.26,8.64,11.87
1000,-4.11,8.8,11.77
