timestamp,x,y,z
0,-10.09,3.21,8.63
10,-10.83,3.19,8.81
20,-11.4,3.01,8.15
30,-11.48,2.78,6.97
40,-11.38,2.65,5.82
50,-11.42,2.68,5.23
60,-11.68,2.83,5.65
70,-12.07,3.25,6.8
80,-12.31,3.61,8.25
90,-12.33,3.93,9.47
100,-12.19,4.21,10.04
110,-11.91,4.37,9.79
120,-11.45,4.47,8.6
130,-10.93,4.63,7.19
140,-10.36,5.02,6.84
150,-9.68,5.64,8.11
160,-8.67,6.3,10.54
170,-7.43,6.81,13.13
180,1.19,7.26,28.28
190,-2.53,6.46,29.66
200,-5.87,5.92,18.73
210,-11.89,5.78,15.46
220,-12.03,7.26,15.82
230,-9.65,7.45,15.94
240,-7.41,7.9,18.5
250,-5.03,8.34,22.18
260,-3.95,8.62,24.54
270,-2.71,8.55,23.4
280,-1.99,8.0,20.95
290,-0.47,7.5,18.07
300,0.95,6.83,16.69
310,2.55,6.55,16.73
320,3.49,6.43,17.65
330,3.59,6.58,18.73
340,3.18,6.79,19.03
350,2.84,6.85,18.27
360,2.66,7.01,17.1
370,2.92,7.1,16.07
380,3.67,7.21,15.39
390,4.67,7.36,14.61
400,5.61,7.44,13.4
410,6.62,7.12,11.84
420,7.71,6.68,10.24
430,8.53,6.23,8.76
440,9.11,5.74,7.61
450,9.21,5.18,6.65
460,8.95,4.72,5.8
470,8.47,4.24,5.01
480,7.93,3.86,4.26
490,7.42,3.36,3.56
500,6.93,2.88,2.8
510,6.56,2.4,2.06
520,6.18,2.04,1.36
530,5.71,1.64,0.63
540,5.22,1.36,0.06
550,4.69,0.94,-0.23
560,3.79,1.39,-0.45
570,2.96,1.21,-0.7
580,2.33,1.21,-0.89
590,1.84,1.15,-1.18
600,1.66,1.13,-1.55
610,1.81,1.02,-1.99
620,1.71,0.84,-2.58
630,1.56,0.67,-3.09
640,1.16,0.83,-3.29
650,0.13,1.33,-3.05
660,-1.55,1.84,-2.25
670,-3.26,2.39,-1.35
680,-4.87,3.19,-0.07
690,-6.75,3.86,1.67
700,-8.59,4.09,3.09
710,-9.88,4.03,3.76
720,-10.8,4.05,3.36
730,-11.09,3.61,2.29
740,-11.18,3.31,1.36
750,-11.29,3.25,1.42
760,-11.37,3.53,2.85
770,-11.51,3.95,5.11
780,-11.52,4.34,7.62
790,-11.56,4.66,9.58
800,-11.66,4.68,10.39
810,-12.03,4.56,9.78
820,-12.71,4.56,8.6
830,-13.55,4.8,7.93
840,-14.51,5.28,8.12
850,-15.16,5.96,9.16
860,-15.52,6.51,10.3
870,-15.47,6.82,11.0
880,-14.94,6.99,11.39
890,-14.24,7.34,11.92
900,-13.56,7.88,13.04
910,-12.88,8.53,14.57
920,-11.86,8.85,16.13
930,-10.41,9.09,17.26
940,-8.73,8.98,17.73
950,-6.88,8.84,18.17
960,-5.07,8.54,18.93
970,-3.35,8.33,19.0
980,-1.88,7.81,19.76
990,-0.7,7.36,19.8
1000,0.06,6.86,19.27
