timestamp,x,y,z
0,17.55,4.85,24.48
10,16.81,4.49,23.04
20,14.31,4.09,20.31
30,11.8,3.64,17.32
40,10.0,2.95,14.51
50,8.77,2.23,12.03
60,7.55,1.43,10.18
70,6.36,0.81,8.57
80,5.23,0.21,7.1
90,4.36,-0.34,5.46
100,3.86,-0.85,3.72
110,3.59,-1.47,2.03
120,3.37,-2.09,0.8
130,3.39,-2.35,0.04
140,3.47,-2.67,-0.49
150,3.56,-2.65,-0.67
160,3.26,-2.43,-0.4
170,2.12,-2.23,0.03
180,0.47,-1.99,0.32
190,-1.23,-1.86,0.24
200,-2.66,-1.71,0.11
210,-3.29,-1.71,-0.17
220,-3.74,-1.88,-0.54
230,-3.72,-1.86,-0.36
240,-3.51,-1.73,0.37
250,-3.48,-1.51,1.06
260,-4.05,-1.09,1.39
270,-5.28,-0.67,1.46
280,-6.83,-0.05,1.54
290,-8.15,0.46,1.89
300,-9.2,1.52,2.7
310,-10.78,2.36,3.98
320,-12.5,3.73,6.77
330,-14.35,5.26,11.05
340,-15.99,6.67,16.52
350,-16.66,7.45,21.44
360,-16.23,7.45,24.18
370,-15.22,6.89,23.93
380,-14.2,5.96,21.12
390,-13.38,5.05,17.59
400,-12.26,4.46,15.16
410,-10.26,4.3,14.61
420,-7.63,4.43,15.55
430,-4.81,4.52,17.42
440,-1.48,4.87,19.61
450,2.31,4.95,21.47
460,5.91,4.79,22.13
470,8.95,4.08,21.28
480,11.89,3.55,19.96
490,13.62,2.97,18.35
500,13.87,2.49,16.8
510,13.21,2.09,15.44
520,11.99,1.61,14.41
530,10.53,1.3,13.45
540,8.98,1.01,12.22
550,7.36,0.73,10.54
560,5.86,0.42,8.44
570,4.67,-0.06,6.24
580,4.06,-0.51,4.22
590,3.67,-1.12,2.39
600,3.2,-1.79,1.1
610,2.82,-2.24,0.55
620,2.32,-2.41,0.66
630,1.66,-2.34,0.98
640,0.89,-2.25,0.92
650,-0.09,-2.15,0.54
660,-1.41,-2.07,0.09
670,-2.83,-1.95,-0.11
680,-4.2,-1.82,0.18
690,-5.01,-1.47,0.8
700,-5.54,-1.37,1.51
710,-5.68,-1.25,2.36
720,-5.79,-1.08,3.11
730,-6.05,-0.97,3.53
740,-6.67,-0.8,3.55
750,-7.62,-0.63,3.23
760,-8.63,-0.26,2.82
770,-9.53,0.16,2.68
780,-10.41,0.65,3.15
790,-11.18,1.39,4.4
800,-11.76,2.24,6.48
810,-12.22,3.07,9.42
820,-12.4,4.0,13.26
830,-12.22,4.79,16.89
840,-11.67,5.16,19.18
850,-11.01,5.2,19.94
860,-9.87,5.19,19.82
870,-8.33,5.12,19.34
880,-6.51,5.15,18.77
890,-5.13,5.0,18.25
900,-3.24,5.2,17.92
910,-1.22,5.46,17.92
920,1.16,5.7,18.75
930,4.26,5.98,20.52
940,7.79,5.81,22.3
950,11.56,5.2,23.44
960,15.16,3.92,23.57
970,16.7,2.82,22.42
980,15.82,2.22,19.81
990,12.91,1.99,16.15
1000,9.68,1.91,12.24
