timestamp,x,y,z
0,3.03,5.32,24.92
10,3.21,4.65,22.49
20,3.16,3.92,19.7
30,3.07,3.21,17.17
40,2.95,2.52,15.02
50,2.77,2.01,13.4
60,2.6,1.58,12.25
70,2.44,1.22,11.24
80,2.35,0.98,10.35
90,2.27,0.77,9.48
100,2.32,0.62,8.59
110,2.35,0.45,7.61
120,2.48,0.25,6.6
130,2.72,0.02,5.52
140,3.02,-0.21,4.47
150,3.31,-0.42,3.41
160,3.62,-0.61,2.41
170,3.92,-0.79,1.41
180,4.17,-0.95,0.35
190,4.28,-1.1,-0.65
200,4.17,-1.27,-1.73
210,3.95,-1.41,-2.73
220,3.85,-1.43,-3.67
230,3.31,-1.31,-4.44
240,2.2,-1.13,-4.72
250,1.04,-0.85,-4.2
260,-0.12,-0.37,-3.07
270,-1.13,0.24,-1.87
280,-1.82,0.85,-0.63
290,-3.07,2.41,0.98
300,-5.33,3.72,4.1
310,-8.12,4.7,7.09
320,-10.54,5.42,9.94
330,-12.65,5.75,12.16
340,-14.03,5.69,13.43
350,-14.67,5.51,13.48
360,-14.44,5.24,12.74
370,-13.45,4.93,12.11
380,-12.22,4.81,12.37
390,-11.13,5.01,13.73
400,-10.37,5.49,15.74
410,-9.55,5.86,17.92
420,-8.58,6.17,19.85
430,-7.04,6.18,21.28
440,-4.87,6.11,21.92
450,-2.3,5.8,21.55
460,0.49,5.52,20.67
470,3.13,5.28,19.71
480,5.32,4.98,18.9
490,7.09,4.6,18.32
500,8.46,4.18,17.85
510,9.5,3.9,17.47
520,10.11,3.55,17.05
530,10.47,3.1,16.47
540,10.44,2.64,15.56
550,9.85,2.3,14.14
560,8.74,1.96,12.48
570,7.42,1.7,10.87
580,6.11,1.53,9.39
590,4.91,1.5,8.03
600,3.9,1.45,6.79
610,3.15,1.23,5.59
620,2.7,1.05,4.42
630,2.46,0.87,3.2
640,2.32,0.75,1.98
650,2.15,0.61,0.59
660,1.88,0.29,-0.9
670,1.58,-0.05,-2.37
680,1.0,-0.55,-3.69
690,0.95,-1.01,-4.95
700,1.16,-1.19,-5.91
710,0.45,-1.07,-6.41
720,-0.31,-0.63,-5.99
730,-1.19,-0.1,-4.94
740,-2.33,0.42,-3.62
750,-3.38,0.81,-2.3
760,-4.4,1.68,-1.23
770,-6.1,2.72,0.8
780,-8.03,3.75,3.66
790,-10.16,4.28,6.69
800,-11.95,4.62,9.3
810,-13.2,4.73,11.12
820,-13.87,4.66,11.84
830,-13.98,4.55,11.46
840,-13.62,4.45,10.64
850,-13.07,4.43,10.25
860,-12.49,4.61,11.02
870,-12.09,4.93,12.81
880,-11.47,5.26,15.17
890,-10.5,5.59,17.6
900,-8.98,5.85,19.78
910,-7.2,6.05,21.35
920,-4.93,6.01,22.22
930,-2.51,5.9,22.36
940,-0.32,5.75,22.15
950,1.66,5.53,21.83
960,3.31,5.34,21.4
970,4.98,5.09,20.99
980,6.37,4.97,20.5
990,7.7,4.73,19.84
1000,8.9,4.31,19.02
