timestamp,x,y,z
0,-20.37,6.39,12.91
10,-20.61,7.29,16.68
20,-19.1,7.66,19.73
30,-16.53,7.46,21.4
40,-14.23,7.19,22.55
50,-12.25,7.01,23.87
60,-9.87,6.78,24.75
70,-7.2,6.38,24.6
80,-5.01,5.97,23.43
90,-3.44,5.7,22.07
100,-1.82,5.88,21.47
110,0.09,6.09,21.38
120,2.45,6.1,21.47
130,4.72,6.0,21.37
140,6.51,5.76,21.05
150,7.65,5.43,20.54
160,8.33,5.15,19.35
170,8.57,4.5,16.98
180,8.59,3.65,14.07
190,8.56,2.73,11.58
200,8.21,1.82,10.1
210,7.62,1.31,9.88
220,6.77,1.14,9.85
230,5.81,0.94,9.12
240,4.7,0.74,7.83
250,3.88,0.46,6.31
260,3.28,0.09,4.57
270,3.11,-0.5,2.79
280,3.1,-1.2,0.99
290,3.6,-1.93,-0.81
300,3.71,-2.57,-2.34
310,3.81,-3.38,-3.33
320,4.19,-3.92,-4.13
330,4.32,-4.05,-4.33
340,4.11,-3.9,-3.68
350,3.65,-3.53,-2.95
360,2.65,-3.39,-2.84
370,1.66,-3.35,-2.97
380,0.58,-3.1,-3.03
390,-0.18,-2.82,-2.78
400,-0.57,-2.53,-2.32
410,-0.9,-2.19,-1.68
420,-1.49,-1.52,-0.88
430,-2.73,-0.74,0.04
440,-4.74,0.64,1.06
450,-8.2,1.96,2.53
460,-12.7,3.34,4.47
470,-18.82,4.84,6.83
480,-23.67,6.02,9.16
490,-26.8,6.81,11.31
500,-26.78,7.33,13.93
510,-24.74,7.49,17.11
520,-21.89,7.22,19.54
530,-19.06,6.65,20.2
540,-16.84,5.91,19.05
550,-14.72,5.41,17.36
560,-12.13,5.31,16.23
570,-9.08,5.4,15.89
580,-5.95,5.6,16.44
590,-2.68,6.09,17.92
600,0.23,6.72,19.64
610,3.85,6.83,21.68
620,6.97,6.93,23.04
630,10.52,6.59,23.61
640,13.41,5.92,23.1
650,15.07,5.14,21.27
660,14.75,4.38,18.52
670,13.16,3.7,15.87
680,11.33,3.1,13.85
690,9.87,2.48,12.3
700,8.9,1.83,10.79
710,8.24,1.26,9.26
720,7.48,0.77,7.69
730,6.69,0.36,5.95
740,5.72,-0.11,4.04
750,4.67,-0.75,2.13
760,4.17,-1.2,0.51
770,3.67,-1.86,-0.99
780,3.26,-2.52,-1.96
790,3.28,-3.05,-2.53
800,3.45,-3.28,-2.76
810,3.32,-3.21,-2.66
820,2.55,-3.04,-2.31
830,1.31,-2.79,-1.95
840,-0.14,-2.61,-1.82
850,-1.49,-2.42,-1.87
860,-2.36,-2.22,-1.92
870,-2.82,-1.9,-1.87
880,-3.28,-1.45,-1.65
890,-4.02,-0.79,-1.24
900,-5.22,0.09,-0.55
910,-7.14,0.88,0.44
920,-9.32,1.88,2.0
930,-11.75,3.24,4.45
940,-15.51,4.75,7.69
950,-18.47,6.07,10.92
960,-19.35,6.79,13.5
970,-18.68,7.16,15.41
980,-17.7,7.33,17.01
990,-17.0,7.64,18.47
1000,-16.29,7.87,19.54
