timestamp,x,y,z
0,-0.93,-0.88,2.46
10,-0.74,-1.3,1.55
20,-0.34,-1.58,1.09
30,-0.12,-1.72,1.14
40,-0.5,-1.58,1.43
50,-1.29,-1.53,1.19
60,-2.32,-1.53,0.59
70,-3.0,-1.58,-0.14
80,-3.09,-1.59,-0.79
90,-2.58,-1.59,-1.19
100,-2.14,-1.39,-1.35
110,-2.1,-1.07,-1.34
120,-2.6,-0.61,-1.27
130,-3.37,-0.12,-1.06
140,-4.19,0.47,-0.32
150,-4.75,1.17,1.42
160,-4.95,1.99,4.09
170,-5.22,2.91,7.84
180,-6.03,3.75,11.95
190,-7.18,4.3,15.28
200,-8.26,4.33,16.3
210,-8.99,3.8,15.16
220,-9.5,3.73,14.12
230,-9.9,3.78,14.81
240,-9.74,4.07,17.01
250,-8.87,4.15,19.38
260,-7.52,3.98,20.72
270,-6.08,3.68,20.8
280,-5.18,3.57,19.84
290,-4.71,3.71,18.89
300,-3.9,4.0,18.29
310,-2.21,4.08,18.01
320,-0.03,4.16,18.11
330,2.14,4.2,18.47
340,4.17,3.99,18.7
350,6.13,3.96,19.03
360,7.71,3.62,18.99
370,8.81,3.28,18.61
380,9.4,2.89,17.66
390,9.25,2.5,16.18
400,8.43,2.25,14.43
410,7.21,2.05,12.53
420,5.79,1.83,10.54
430,4.31,1.55,8.64
440,3.0,1.24,6.9
450,2.17,0.8,5.49
460,1.92,0.34,4.54
470,2.04,-0.05,3.91
480,2.17,-0.31,3.47
490,1.91,-0.45,3.03
500,1.13,-0.64,2.47
510,0.18,-0.73,1.86
520,-0.62,-0.85,1.09
530,-1.21,-0.95,0.14
540,-1.74,-1.1,-0.91
550,-2.25,-1.25,-1.7
560,-2.59,-1.17,-1.89
570,-2.83,-0.89,-1.02
580,-2.91,-0.68,0.46
590,-3.01,-0.45,1.8
600,-3.23,-0.32,2.47
610,-3.65,-0.17,2.7
620,-4.31,-0.06,2.82
630,-5.11,0.25,3.06
640,-6.13,0.55,3.67
650,-7.3,0.92,4.65
660,-8.58,1.41,5.94
670,-9.79,1.79,7.44
680,-10.73,2.05,8.94
690,-11.37,2.11,10.22
700,-11.85,1.9,10.87
710,-12.37,1.64,11.05
720,-12.85,1.32,11.2
730,-12.84,1.03,11.49
740,-12.55,0.81,11.99
750,-12.06,0.74,12.68
760,-11.43,0.95,13.67
770,-10.82,1.36,14.76
780,-10.42,1.87,15.81
790,-10.09,2.65,16.63
800,-9.4,3.49,17.22
810,-7.78,4.19,17.86
820,-5.32,4.76,18.93
830,-2.26,5.19,20.71
840,0.69,5.17,22.62
850,3.65,5.46,23.67
860,5.78,5.08,23.43
870,7.26,4.56,22.7
880,8.16,4.47,21.55
890,8.23,3.93,19.67
900,7.95,3.43,17.26
910,7.34,2.89,14.72
920,6.54,2.41,12.56
930,5.6,2.0,10.95
940,4.58,1.63,9.76
950,3.75,1.37,8.79
960,3.05,1.12,7.63
970,2.63,0.78,6.29
980,2.37,0.45,5.01
990,2.39,0.03,4.08
1000,2.66,-0.34,3.67
