timestamp,x,y,z
0,8.78,4.16,9.79
10,8.36,3.91,8.97
20,8.15,3.68,8.01
30,7.93,3.33,6.77
40,7.66,2.98,5.39
50,7.55,2.64,4.15
60,7.47,2.14,2.98
70,7.43,1.81,1.9
80,7.32,1.57,0.77
90,7.22,1.49,-0.14
100,7.02,1.48,-1.1
110,6.7,1.2,-2.08
120,7.24,1.03,-3.14
130,7.75,1.35,-4.66
140,10.76,1.62,-8.83
150,8.21,2.01,-7.86
160,7.52,2.92,-8.71
170,6.22,4.09,-8.92
180,4.13,5.64,-7.98
190,1.52,7.39,-5.94
200,-0.62,9.05,-3.77
210,-3.23,10.86,-2.57
220,-6.39,13.12,-1.84
230,-8.94,13.73,-0.89
240,-11.53,13.95,-0.51
250,-17.99,12.98,3.84
260,-16.79,12.05,3.71
270,-14.92,11.16,3.58
280,-12.5,10.32,3.56
290,-9.66,9.63,3.38
300,-7.09,9.37,3.37
310,-5.84,9.7,3.94
320,-6.05,10.55,4.77
330,-7.64,11.4,5.28
340,-9.76,12.4,5.43
350,-11.56,13.48,6.04
360,-12.84,14.45,7.49
370,-13.11,15.33,9.63
380,-12.68,15.81,11.71
390,-11.83,16.22,13.44
400,-11.29,16.57,15.11
410,-11.21,16.91,17.0
420,-11.15,17.11,19.02
430,-10.44,17.06,20.36
440,-9.14,16.38,20.51
450,-7.56,15.68,20.05
460,-6.11,15.21,19.89
470,-5.09,14.87,20.23
480,-4.67,14.63,20.77
490,2.59,13.41,18.05
500,-5.28,13.51,21.34
510,-5.17,12.8,20.53
520,-2.84,12.1,18.34
530,-0.15,11.05,15.59
540,2.01,10.43,13.53
550,3.57,9.74,12.53
560,5.41,9.65,12.45
570,7.33,9.16,12.62
580,9.6,8.0,12.94
590,12.13,6.77,13.37
600,13.91,5.89,13.41
610,14.27,5.37,13.36
620,12.92,5.04,13.27
630,10.35,5.06,12.91
640,7.32,5.01,12.05
650,4.9,5.06,10.56
660,3.52,4.76,8.66
670,3.37,4.93,7.13
680,3.88,4.44,5.92
690,5.08,3.42,4.97
700,6.14,2.49,4.2
710,6.53,1.74,3.55
720,6.2,1.26,3.05
730,5.36,0.98,2.72
740,4.4,0.79,2.66
750,3.54,0.76,2.87
760,2.94,0.8,3.21
770,2.6,0.9,3.39
780,2.55,0.8,3.19
790,2.8,0.68,2.63
800,3.31,0.65,1.8
810,3.46,0.78,0.71
820,2.83,0.69,-0.86
830,2.15,0.48,-2.15
840,1.57,-0.0,-3.3
850,1.48,0.01,-3.6
860,1.11,0.17,-2.88
870,1.16,0.59,-1.22
880,1.16,1.17,0.26
890,0.88,2.14,1.71
900,0.27,2.86,3.37
910,-1.08,3.67,5.09
920,-2.99,4.12,5.95
930,-5.0,4.24,6.27
940,-6.23,3.98,5.68
950,-6.96,3.67,4.63
960,-7.02,3.34,3.17
970,-6.67,3.15,1.81
980,-6.36,3.09,0.78
990,-5.91,3.21,0.56
1000,-6.01,3.7,1.35
