timestamp,x,y,z
0,4.28,4.72,16.73
10,5.12,4.37,16.37
20,6.23,3.74,14.8
30,7.18,2.83,12.78
40,7.69,2.1,11.38
50,7.99,1.49,10.4
60,7.64,1.1,9.77
70,6.99,0.82,9.39
80,5.91,0.83,8.95
90,4.76,0.81,8.19
100,3.62,0.65,6.91
110,2.65,0.34,5.46
120,2.15,-0.08,4.07
130,1.74,-0.54,2.89
140,1.35,-0.93,2.21
150,0.79,-1.19,1.96
160,0.03,-1.35,2.25
170,-0.8,-1.41,2.92
180,-1.36,-1.32,3.56
190,-1.66,-1.33,3.67
200,-1.57,-1.41,3.03
210,-1.58,-1.64,1.95
220,-1.59,-1.56,1.2
230,-2.54,-1.67,0.52
240,-3.4,-1.68,0.49
250,-4.21,-1.51,1.23
260,-4.64,-1.29,2.26
270,-4.75,-1.1,3.08
280,-5.09,-0.97,3.43
290,-5.7,-0.75,3.41
300,-6.68,-0.64,3.11
310,-8.15,-0.29,3.01
320,-9.55,0.27,3.38
330,-10.68,0.71,4.5
340,-11.48,1.51,6.45
350,-11.59,2.23,8.62
360,-11.65,2.68,10.2
370,-11.54,2.96,10.92
380,-11.28,3.32,10.83
390,-10.83,3.62,10.57
400,-10.33,4.12,10.59
410,-9.86,4.61,11.67
420,-9.24,5.52,14.12
430,-8.59,6.45,17.16
440,-7.7,7.34,20.22
450,-6.46,7.77,22.46
460,-5.17,8.05,23.47
470,-3.45,8.01,23.25
480,-1.89,7.54,21.85
490,-0.35,6.98,19.97
500,0.67,6.43,17.93
510,1.19,5.93,16.07
520,1.43,5.38,14.59
530,1.64,4.95,13.9
540,1.98,4.64,14.27
550,2.4,4.63,15.45
560,2.77,4.66,16.87
570,3.16,4.69,17.67
580,3.72,4.62,17.28
590,4.57,4.29,15.82
600,5.24,3.51,13.81
610,6.16,3.17,12.12
620,6.56,2.47,10.4
630,6.83,1.63,9.37
640,6.9,1.1,9.24
650,6.64,0.85,9.45
660,6.07,0.85,9.2
670,5.26,0.68,8.01
680,4.22,0.45,6.26
690,3.02,0.14,4.4
700,1.9,-0.26,2.72
710,1.09,-0.73,1.44
720,0.48,-1.15,0.65
730,0.28,-1.48,0.48
740,0.24,-1.64,1.03
750,0.28,-1.71,2.0
760,0.44,-1.68,3.05
770,0.46,-1.7,3.56
780,0.09,-1.74,3.48
790,-0.56,-1.75,3.19
800,-1.36,-1.71,2.86
810,-2.11,-1.73,2.67
820,-2.6,-1.74,2.81
830,-3.1,-1.69,3.15
840,-3.49,-1.62,3.47
850,-3.85,-1.65,3.59
860,-4.29,-1.79,3.46
870,-4.83,-1.84,3.23
880,-5.32,-1.99,3.05
890,-6.07,-1.93,2.99
900,-6.87,-1.87,2.86
910,-7.99,-2.01,2.85
920,-9.26,-1.82,3.09
930,-10.38,-1.62,3.42
940,-11.11,-1.34,3.62
950,-10.9,-1.24,3.65
960,-9.93,-1.31,3.37
970,-8.73,-1.26,3.3
980,-8.04,-1.0,3.99
990,-8.27,-0.6,5.8
1000,-8.55,0.24,8.73
