timestamp,x,y,z
0,-12.65,4.1,15.55
10,-12.0,4.14,17.87
20,-11.01,4.13,20.23
30,-9.56,4.19,22.03
40,-7.52,4.05,23.16
50,-4.98,3.76,23.71
60,-2.26,3.44,23.87
70,0.45,3.04,23.86
80,2.96,2.93,23.92
90,5.1,3.01,23.91
100,6.92,3.02,23.57
110,8.41,2.86,22.75
120,9.56,2.51,21.5
130,10.47,2.19,19.91
140,10.97,1.75,17.99
150,11.08,1.25,15.67
160,11.24,0.69,13.22
170,11.04,0.23,10.64
180,10.76,-0.24,8.15
190,10.49,-0.67,5.78
200,10.33,-1.19,3.45
210,10.25,-1.8,1.32
220,10.34,-2.2,-0.39
230,10.51,-2.49,-1.43
240,10.53,-2.92,-2.28
250,10.37,-3.05,-3.39
260,10.48,-3.03,-3.9
270,10.33,-2.88,-4.14
280,9.44,-2.49,-3.73
290,8.26,-1.98,-3.28
300,6.92,-1.39,-3.05
310,5.4,-0.77,-3.04
320,3.71,-0.25,-3.19
330,2.08,0.25,-3.24
340,0.04,0.83,-3.22
350,-2.1,1.48,-3.18
360,-3.93,1.96,-3.02
370,-5.48,2.48,-2.77
380,-6.56,2.66,-2.23
390,-7.3,2.96,-1.28
400,-7.62,3.57,0.1
410,-7.7,4.04,1.5
420,-8.05,4.62,2.42
430,-8.99,5.39,3.12
440,-10.39,6.33,3.61
450,-14.72,7.07,5.95
460,-16.57,7.73,6.48
470,-20.13,8.5,9.06
480,-22.06,8.81,11.0
490,-22.99,8.77,12.45
500,-22.65,8.29,13.5
510,-20.88,7.44,14.29
520,-18.2,6.51,14.72
530,-15.33,5.58,15.1
540,-12.82,5.0,15.94
550,-10.5,4.6,17.42
560,-8.06,4.21,19.49
570,-5.53,4.28,21.84
580,-2.85,4.54,23.88
590,-0.4,4.55,25.34
600,2.77,4.76,26.4
610,5.92,4.76,26.68
620,8.9,4.17,26.22
630,11.82,3.71,25.17
640,13.98,3.17,23.54
650,15.21,2.53,21.45
660,15.8,2.1,19.38
670,15.67,1.82,17.38
680,15.1,1.68,15.54
690,14.31,1.46,13.9
700,13.68,1.36,12.57
710,13.44,1.37,11.34
720,12.88,1.35,9.92
730,12.12,1.3,8.35
740,11.22,0.98,6.56
750,10.53,0.74,4.85
760,9.86,0.53,3.26
770,9.17,0.38,1.85
780,8.35,0.33,0.7
790,7.31,0.35,-0.13
800,6.21,0.55,-0.73
810,5.19,0.7,-1.23
820,4.34,0.87,-1.59
830,3.35,0.97,-2.15
840,2.42,0.89,-2.83
850,1.39,0.72,-3.7
860,1.0,0.41,-4.48
870,0.77,0.24,-5.04
880,0.43,0.36,-4.8
890,0.1,0.7,-3.48
900,-0.44,1.14,-1.84
910,-1.37,1.7,-0.46
920,-2.5,2.34,0.79
930,-4.05,2.99,2.21
940,-5.9,3.45,3.25
950,-7.48,3.75,3.99
960,-8.98,3.89,4.55
970,-9.69,3.83,4.78
980,-9.91,3.79,5.06
990,-10.07,3.88,5.62
1000,-10.6,4.15,6.65
